departamento,departamento_iso,anio,numero_semana,fecha_inicio_semana,fecha_fin_semana,cantidad_detecciones,superficie_km2,detecciones_por_1000_km2
Maldonado,UY-MA,2018,7,2018-02-12,2018-02-18,3,4803.260185508939,0.6245757848077367
Montevideo,UY-MO,2018,7,2018-02-12,2018-02-18,0,527.7536386520376,0.0
Paysandú,UY-PA,2018,7,2018-02-12,2018-02-18,0,14088.526169172621,0.0
Rivera,UY-RV,2018,7,2018-02-12,2018-02-18,4,9329.550532265199,0.4287451990496703
Rocha,UY-RO,2018,7,2018-02-12,2018-02-18,2,10558.553826772255,0.1894198801097933
Río Negro,UY-RN,2018,7,2018-02-12,2018-02-18,1,9810.67596839813,0.10192977560579633
Salto,UY-SA,2018,7,2018-02-12,2018-02-18,0,14170.87435119916,0.0
San José,UY-SJ,2018,7,2018-02-12,2018-02-18,2,5002.920653176918,0.39976648414960864
Soriano,UY-SO,2018,7,2018-02-12,2018-02-18,0,9122.538742945157,0.0
Tacuarembó,UY-TA,2018,7,2018-02-12,2018-02-18,5,15973.367767510354,0.31302102804957277
Treinta y Tres,UY-TT,2018,7,2018-02-12,2018-02-18,1,9285.005878360264,0.10770052416774566
Artigas,UY-AR,2018,8,2018-02-19,2018-02-25,0,12010.600679730765,0.0
Canelones,UY-CA,2018,8,2018-02-19,2018-02-25,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2018,8,2018-02-19,2018-02-25,2,13655.557447815512,0.14646051672683205
Colonia,UY-CO,2018,8,2018-02-19,2018-02-25,0,6112.026851866528,0.0
Durazno,UY-DU,2018,8,2018-02-19,2018-02-25,0,12228.10425056514,0.0
Flores,UY-FS,2018,8,2018-02-19,2018-02-25,0,5140.77049712524,0.0
Florida,UY-FD,2018,8,2018-02-19,2018-02-25,0,10405.572253242583,0.0
Lavalleja,UY-LA,2018,8,2018-02-19,2018-02-25,1,10031.272844140674,0.09968824650045341
Maldonado,UY-MA,2018,8,2018-02-19,2018-02-25,0,4803.260185508939,0.0
Montevideo,UY-MO,2018,8,2018-02-19,2018-02-25,0,527.7536386520376,0.0
Paysandú,UY-PA,2018,8,2018-02-19,2018-02-25,0,14088.526169172621,0.0
Rivera,UY-RV,2018,8,2018-02-19,2018-02-25,1,9329.550532265199,0.10718629976241757
Rocha,UY-RO,2018,8,2018-02-19,2018-02-25,0,10558.553826772255,0.0
Río Negro,UY-RN,2018,8,2018-02-19,2018-02-25,0,9810.67596839813,0.0
Salto,UY-SA,2018,8,2018-02-19,2018-02-25,0,14170.87435119916,0.0
San José,UY-SJ,2018,8,2018-02-19,2018-02-25,0,5002.920653176918,0.0
Soriano,UY-SO,2018,8,2018-02-19,2018-02-25,0,9122.538742945157,0.0
Tacuarembó,UY-TA,2018,8,2018-02-19,2018-02-25,7,15973.367767510354,0.4382294392694019
Treinta y Tres,UY-TT,2018,8,2018-02-19,2018-02-25,0,9285.005878360264,0.0
