coordenada_id,departamento,departamento_iso,latitud,longitud,easting_m,northing_m,distancia_limite_m,metodo_seleccion,margen_interior_m,crs_generacion,separacion_grilla_m,fuente_limite
URY_CO_G_E475000_N6200000,Colonia,UY-CO,-34.341001,-57.271806,475000.0,6200000.0,10474.60401148028,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_CO_G_E475000_N6225000,Colonia,UY-CO,-34.115539000000005,-57.271083000000004,475000.0,6225000.0,18774.325866911517,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_DU_G_E525000_N6350000,Durazno,UY-DU,-32.988105,-56.732416,525000.0,6350000.0,10990.367463890814,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_DU_G_E550000_N6325000,Durazno,UY-DU,-33.21274,-56.463471,550000.0,6325000.0,19350.77090674042,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_DU_G_E550000_N6350000,Durazno,UY-DU,-32.98724399999999,-56.464839,550000.0,6350000.0,13755.007665611547,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_DU_G_E575000_N6325000,Durazno,UY-DU,-33.211294999999986,-56.195225,575000.0,6325000.0,25953.21241693747,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_DU_G_E575000_N6350000,Durazno,UY-DU,-32.98581099999999,-56.197277,575000.0,6350000.0,21749.113179791337,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_DU_G_E600000_N6325000,Durazno,UY-DU,-33.209271,-55.927003,600000.0,6325000.0,21902.575648040915,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_DU_G_E600000_N6350000,Durazno,UY-DU,-32.983804,-55.929739,600000.0,6350000.0,33747.30044596015,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_DU_G_E600000_N6375000,Durazno,UY-DU,-32.75833,-55.932444,600000.0,6375000.0,10492.732071933731,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_DU_G_E625000_N6325000,Durazno,UY-DU,-33.206669,-55.65881100000001,625000.0,6325000.0,14432.69415053908,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_DU_G_E625000_N6350000,Durazno,UY-DU,-32.981224999999995,-55.66223,625000.0,6350000.0,33423.523701656275,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_DU_G_E625000_N6375000,Durazno,UY-DU,-32.75577200000001,-55.66561200000001,625000.0,6375000.0,20072.622014178403,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_DU_G_E650000_N6350000,Durazno,UY-DU,-32.97807300000001,-55.39476,650000.0,6350000.0,10988.623245367233,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_FD_G_E575000_N6225000,Florida,UY-FD,-34.11314599999999,-56.186784,575000.0,6225000.0,19763.688695903387,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_FD_G_E575000_N6250000,Florida,UY-FD,-33.887696,-56.18892900000001,575000.0,6250000.0,19922.72400645879,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_FD_G_E575000_N6275000,Florida,UY-FD,-33.66223699999999,-56.19105100000001,575000.0,6275000.0,19485.399816979105,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_FD_G_E600000_N6225000,Florida,UY-FD,-34.111051999999994,-55.915749,600000.0,6225000.0,17294.500235852007,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_FD_G_E600000_N6250000,Florida,UY-FD,-33.88562000000001,-55.918609,600000.0,6250000.0,39596.041674584456,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_FD_G_E600000_N6275000,Florida,UY-FD,-33.660177999999995,-55.921438,600000.0,6275000.0,23619.913777998474,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_FD_G_E625000_N6225000,Florida,UY-FD,-34.108361,-55.644746,625000.0,6225000.0,7577.540363065677,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_FD_G_E625000_N6250000,Florida,UY-FD,-33.882951,-55.648321,625000.0,6250000.0,22762.685663271503,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_FD_G_E625000_N6275000,Florida,UY-FD,-33.657531999999996,-55.651857,625000.0,6275000.0,27153.19246241896,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_FD_G_E650000_N6300000,Florida,UY-FD,-33.428898,-55.386509,650000.0,6300000.0,17198.261113422705,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_FS_G_E500000_N6250000,Flores,UY-FS,-33.890365,-57.00000000000001,500000.0,6250000.0,9208.188849742606,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_FS_G_E500000_N6275000,Flores,UY-FS,-33.664883999999994,-57.00000000000001,500000.0,6275000.0,15275.640140330212,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_FS_G_E500000_N6300000,Flores,UY-FS,-33.43939499999999,-57.00000000000001,500000.0,6300000.0,23223.432357897316,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_FS_G_E525000_N6275000,Flores,UY-FS,-33.66459,-56.73034,525000.0,6275000.0,21869.537085745877,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_FS_G_E525000_N6300000,Flores,UY-FS,-33.43910300000001,-56.73104,525000.0,6300000.0,11200.785383830847,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_LA_G_E650000_N6200000,Lavalleja,UY-LA,-34.330445,-55.369446,650000.0,6200000.0,16462.741491395933,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_LA_G_E650000_N6225000,Lavalleja,UY-LA,-34.105071999999986,-55.373783,650000.0,6225000.0,10151.169588187344,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_LA_G_E675000_N6200000,Lavalleja,UY-LA,-34.326525999999994,-55.097809000000005,675000.0,6200000.0,15146.58895387779,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_LA_G_E675000_N6225000,Lavalleja,UY-LA,-34.101184999999994,-55.102868,675000.0,6225000.0,31350.318546208662,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_LA_G_E675000_N6250000,Lavalleja,UY-LA,-33.87583600000001,-55.107871,675000.0,6250000.0,20479.473225278878,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_LA_G_E675000_N6275000,Lavalleja,UY-LA,-33.650476999999995,-55.112818,675000.0,6275000.0,13807.22601703995,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_LA_G_E700000_N6225000,Lavalleja,UY-LA,-34.096702,-54.832009,700000.0,6225000.0,9263.617310949438,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_LA_G_E700000_N6250000,Lavalleja,UY-LA,-33.87138999999999,-54.837725,700000.0,6250000.0,23624.889988337956,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_LA_G_E700000_N6275000,Lavalleja,UY-LA,-33.64606899999998,-54.843377,700000.0,6275000.0,27873.307439362543,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_LA_G_E700000_N6300000,Lavalleja,UY-LA,-33.420738,-54.848967,700000.0,6300000.0,7740.56386004992,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_LA_G_E725000_N6250000,Lavalleja,UY-LA,-33.866353,-54.567642,725000.0,6250000.0,8628.71072848459,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_LA_G_E725000_N6275000,Lavalleja,UY-LA,-33.64107399999999,-54.573999,725000.0,6275000.0,17134.460798501153,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_MA_G_E675000_N6150000,Maldonado,UY-MA,-34.777181,-55.087522,675000.0,6150000.0,11151.258671007065,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_MA_G_E700000_N6150000,Maldonado,UY-MA,-34.772583,-54.814476,700000.0,6150000.0,12614.325337419747,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_MA_G_E700000_N6175000,Maldonado,UY-MA,-34.54729900000001,-54.820385,700000.0,6175000.0,15579.191005020186,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_MO_F_RP_E569972_N6146656,Montevideo,UY-MO,-34.819959923306975,-56.234876622924894,569972.0858236195,6146655.618174992,5540.557403253214,representative_point_fallback,7500,EPSG:32721,,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_PA_G_E400000_N6450000,Paysandú,UY-PA,-32.081855999999995,-58.059617,400000.0,6450000.0,8308.709040201129,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_PA_G_E425000_N6425000,Paysandú,UY-PA,-32.309310999999994,-57.796701,425000.0,6425000.0,26151.33622762925,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_PA_G_E425000_N6450000,Paysandú,UY-PA,-32.083794,-57.794738,425000.0,6450000.0,32941.453405218934,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_PA_G_E425000_N6475000,Paysandú,UY-PA,-31.858269000000004,-57.792798,425000.0,6475000.0,25822.671642227077,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_PA_G_E425000_N6500000,Paysandú,UY-PA,-31.632737,-57.790878000000006,425000.0,6500000.0,8450.52920103259,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_PA_G_E450000_N6425000,Paysandú,UY-PA,-32.31070799999999,-57.531146,450000.0,6425000.0,13109.68718913016,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
URY_PA_G_E450000_N6450000,Paysandú,UY-PA,-32.08517899999999,-57.529838000000005,450000.0,6450000.0,36972.47606136307,grid,7500,EPSG:32721,25000,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher"
