coordenada_id,departamento,departamento_iso,metodo_seleccion,crs_generacion,separacion_grilla_m,easting_m,northing_m,fuente_limite,latitud,longitud
URY_CO_G_E400000_N6250000,Colonia,UY-CO,regular_grid_25km,EPSG:32721,25000,400000.0,6250000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.88562,-58.081391
URY_CO_G_E425000_N6200000,Colonia,UY-CO,regular_grid_25km,EPSG:32721,25000,425000.0,6200000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.338588,-57.815386
URY_CO_G_E425000_N6225000,Colonia,UY-CO,regular_grid_25km,EPSG:32721,25000,425000.0,6225000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.113146,-57.813216
URY_CO_G_E450000_N6200000,Colonia,UY-CO,regular_grid_25km,EPSG:32721,25000,450000.0,6200000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.340096,-57.543604
URY_CO_G_E450000_N6225000,Colonia,UY-CO,regular_grid_25km,EPSG:32721,25000,450000.0,6225000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.114642,-57.542158
URY_CO_G_E475000_N6200000,Colonia,UY-CO,regular_grid_25km,EPSG:32721,25000,475000.0,6200000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.341001,-57.271806
URY_CO_G_E475000_N6225000,Colonia,UY-CO,regular_grid_25km,EPSG:32721,25000,475000.0,6225000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.115539,-57.271083
URY_CO_G_E500000_N6225000,Colonia,UY-CO,regular_grid_25km,EPSG:32721,25000,500000.0,6225000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.115838,-57.0
URY_DU_G_E525000_N6325000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,525000.0,6325000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.213608,-56.731732
URY_DU_G_E525000_N6350000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,525000.0,6350000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.988105,-56.732416
URY_DU_G_E550000_N6300000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,550000.0,6300000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.438228,-56.462087
URY_DU_G_E550000_N6325000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,550000.0,6325000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.21274,-56.463471
URY_DU_G_E550000_N6350000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,550000.0,6350000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.987244,-56.464839
URY_DU_G_E575000_N6300000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,575000.0,6300000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.43677,-56.19315
URY_DU_G_E575000_N6325000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,575000.0,6325000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.211295,-56.195225
URY_DU_G_E575000_N6350000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,575000.0,6350000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.985811,-56.197277
URY_DU_G_E575000_N6375000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,575000.0,6375000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.760319,-56.199307
URY_DU_G_E600000_N6325000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,600000.0,6325000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.209271,-55.927003
URY_DU_G_E600000_N6350000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,600000.0,6350000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.983804,-55.929739
URY_DU_G_E600000_N6375000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,600000.0,6375000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.75833,-55.932444
URY_DU_G_E625000_N6325000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,625000.0,6325000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.206669,-55.658811
URY_DU_G_E625000_N6350000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,625000.0,6350000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.981225,-55.66223
URY_DU_G_E625000_N6375000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,625000.0,6375000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.755772,-55.665612
URY_DU_G_E625000_N6400000,Durazno,UY-DU,regular_grid_25km,EPSG:32721,25000,625000.0,6400000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.530311,-55.668956
