coordenada_id,departamento,latitud_reportada,longitud_reportada,pares_modelo_distintos,latitud_modelo,longitud_modelo,coincide_auditoria_previa
URY_RO_G_E775000_N6275000,Rocha,-33.6,-54.0,1,-33.6,-54.0,True
URY_RO_G_E800000_N6225000,Rocha,-34.1,-53.699997,1,-34.1,-53.699997,True
URY_RO_G_E800000_N6250000,Rocha,-33.8,-53.799995,1,-33.8,-53.799995,True
URY_RO_G_E800000_N6275000,Rocha,-33.6,-53.799995,1,-33.6,-53.799995,True
URY_RO_G_E800000_N6300000,Rocha,-33.399998,-53.799995,1,-33.399998,-53.799995,True
URY_RV_G_E600000_N6550000,Rivera,-31.2,-56.0,1,-31.2,-56.0,True
URY_RV_G_E625000_N6525000,Rivera,-31.399998,-55.699997,1,-31.399998,-55.699997,True
URY_RV_G_E625000_N6550000,Rivera,-31.2,-55.699997,1,-31.2,-55.699997,True
URY_RV_G_E650000_N6500000,Rivera,-31.599998,-55.4,1,-31.599998,-55.4,True
URY_RV_G_E650000_N6525000,Rivera,-31.399998,-55.4,1,-31.399998,-55.4,True
URY_RV_G_E650000_N6550000,Rivera,-31.2,-55.4,1,-31.2,-55.4,True
URY_RV_G_E675000_N6500000,Rivera,-31.599998,-55.199997,1,-31.599998,-55.199997,True
URY_RV_G_E675000_N6525000,Rivera,-31.399998,-55.199997,1,-31.399998,-55.199997,True
URY_RV_G_E700000_N6500000,Rivera,-31.599998,-54.9,1,-31.599998,-54.9,True
URY_RV_G_E725000_N6475000,Rivera,-31.8,-54.6,1,-31.8,-54.6,True
URY_RV_G_E725000_N6500000,Rivera,-31.599998,-54.6,1,-31.599998,-54.6,True
URY_SA_G_E425000_N6525000,Salto,-31.399998,-57.799995,1,-31.399998,-57.799995,True
URY_SA_G_E425000_N6550000,Salto,-31.2,-57.799995,1,-31.2,-57.799995,True
URY_SA_G_E450000_N6525000,Salto,-31.399998,-57.5,1,-31.399998,-57.5,True
URY_SA_G_E450000_N6550000,Salto,-31.2,-57.5,1,-31.2,-57.5,True
URY_SA_G_E450000_N6575000,Salto,-31.0,-57.5,1,-31.0,-57.5,True
