departamento,departamento_iso,fecha_inicio_semana,fecha_fin_semana,anio,numero_semana,n_dias_esperados,n_dias_observados,cobertura_temporal_pct,cobertura_espacial_min_pct,precipitation_days_weekly,temperature_2m_max_mean_weekly,temperature_2m_max_weekly,temperature_2m_min_mean_weekly,temperature_2m_min_weekly,relative_humidity_2m_min_mean_weekly,relative_humidity_2m_min_weekly,relative_humidity_2m_max_mean_weekly,relative_humidity_2m_max_weekly,wind_speed_10m_max_mean_weekly,wind_speed_10m_max_weekly,precipitation_sum_weekly,precipitation_max_daily_weekly,et0_fao_evapotranspiration_sum_weekly,et0_fao_evapotranspiration_max_daily_weekly,wind_direction_10m_resultant_length_spatial_daily_mean_weekly,wind_direction_10m_dominant_circular_mean_weekly,wind_direction_10m_resultant_length_weekly
Durazno,UY-DU,2017-10-16,2017-10-22,2017,42,7,7,100.0,100.0,6,22.070238095238096,27.6,12.48095238095238,7.4,59.904761904761905,43,92.39285714285714,100,7.024166666666667,10.17,50.15833333333333,34.958333333333336,23.7275,5.21,0.9978077130099136,86.3834414027336,0.25062136798020446
Durazno,UY-DU,2017-10-23,2017-10-29,2017,43,7,7,100.0,100.0,4,22.567857142857143,26.9,12.595238095238097,3.3,59.226190476190474,44,92.80952380952382,99,5.393690476190477,10.16,26.216666666666665,19.516666666666666,26.405,4.87,0.9969928947701429,90.91413019028651,0.7340422776328909
Durazno,UY-DU,2017-10-30,2017-11-05,2017,44,7,7,100.0,100.0,4,23.447619047619046,26.6,12.998809523809525,8.2,45.345238095238095,35,90.89285714285714,99,5.460119047619047,9.29,27.416666666666664,15.174999999999999,33.7325,5.75,0.996240039514079,156.4116648702767,0.3132882335995065
Durazno,UY-DU,2017-11-06,2017-11-12,2017,45,7,7,100.0,100.0,3,24.37261904761905,26.5,14.086904761904762,10.3,43.226190476190474,32,89.25,97,5.754642857142857,8.67,5.625,2.65,36.48916666666666,6.07,0.9981471552303253,197.34629251187238,0.1655592515122672
Durazno,UY-DU,2017-11-13,2017-11-19,2017,46,7,7,100.0,100.0,2,25.895238095238096,33.5,13.369047619047619,8.6,36.166666666666664,27,81.89285714285714,95,6.952738095238095,10.29,2.8833333333333333,1.5833333333333333,42.608333333333334,8.06,0.9473583577414101,349.76674692612175,0.2650178327595549
Durazno,UY-DU,2017-11-20,2017-11-26,2017,47,7,7,100.0,100.0,5,22.859523809523807,28.8,11.454761904761906,6.4,39.273809523809526,32,83.84523809523809,97,6.211309523809524,9.72,15.041666666666668,8.375,37.652499999999996,7.51,0.9958513787075739,84.60705182473113,0.2750479363497137
Durazno,UY-DU,2017-11-27,2017-12-03,2017,48,7,7,100.0,100.0,4,27.04404761904762,28.7,14.258333333333335,8.8,37.452380952380956,30,84.76190476190477,94,7.058452380952381,8.86,1.8583333333333336,1.7583333333333335,44.56666666666666,7.26,0.9989151623431457,97.60597083606953,0.7739558904219302
Durazno,UY-DU,2017-12-04,2017-12-10,2017,49,7,7,100.0,100.0,6,29.057142857142857,33.9,17.436904761904763,15.4,34.083333333333336,20,88.16666666666666,100,6.002857142857144,7.8,0.5666666666666667,0.20833333333333334,42.97,8.63,0.9703951052608996,168.95712217513017,0.15966069796200405
Durazno,UY-DU,2017-12-11,2017-12-17,2017,50,7,7,100.0,100.0,2,30.566666666666666,36.2,17.498809523809523,13.1,30.916666666666668,23,76.02380952380952,93,6.461190476190476,11.01,17.208333333333332,17.2,47.82083333333333,8.17,0.9984941740700153,38.728578373455434,0.14054661606500657
Durazno,UY-DU,2017-12-18,2017-12-24,2017,51,7,7,100.0,100.0,3,27.379761904761903,32.7,16.322619047619046,9.5,45.57142857142857,36,83.79761904761905,96,6.1865476190476185,9.27,11.258333333333333,10.533333333333333,39.48916666666666,6.73,0.9985920862278058,93.06782376970146,0.7740061411896216
