coordenada_id,departamento_solicitado,departamento_iso,latitud_solicitada,longitud_solicitada,distancia_limite_m,metodo_seleccion,margen_interior_m,latitud_reportada,longitud_reportada,elevacion_reportada_m,distancia_solicitada_reportada_m,departamento_open_meteo,estado_asignacion,mismo_departamento,punto_valido,distancia_limite_nacional_m,tipo_zona,timezone,timezone_abbreviation,utc_offset_seconds,daily_units_json
URY_CL_G_E725000_N6400000,Cerro Largo,UY-CL,-32.514542,-54.604744,30939.14381397432,grid,7500,-32.5,-54.6,144.0,1673.5047190830178,Cerro Largo,mismo_departamento,True,True,80566.54656743762,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CL_G_E725000_N6425000,Cerro Largo,UY-CL,-32.28920800000001,-54.61069,18526.458115057518,grid,7500,-32.3,-54.6,133.0,1564.3327222878065,Cerro Largo,mismo_departamento,True,True,62330.04608851235,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CL_G_E750000_N6400000,Cerro Largo,UY-CL,-32.509195,-54.33884,22429.53276770344,grid,7500,-32.5,-54.299995,109.0,3791.5344547664404,Cerro Largo,mismo_departamento,True,True,66727.94174931347,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CL_G_E750000_N6425000,Cerro Largo,UY-CL,-32.28390699999999,-54.345444,30497.85093117007,grid,7500,-32.3,-54.299995,141.0,4639.809684473378,Cerro Largo,mismo_departamento,True,True,45615.50515244205,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CL_G_E750000_N6450000,Cerro Largo,UY-CL,-32.058610000000016,-54.351975,17164.501868395088,grid,7500,-32.1,-54.4,154.0,6453.910473478395,Cerro Largo,mismo_departamento,True,True,27014.29499665835,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CL_G_E750000_N6475000,Cerro Largo,UY-CL,-31.833304,-54.35843400000001,9079.002090276996,grid,7500,-31.8,-54.4,133.0,5398.734405309876,Cerro Largo,mismo_departamento,True,True,9079.002090277469,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CL_G_E775000_N6400000,Cerro Largo,UY-CL,-32.50328700000001,-54.073009,23420.547143341075,grid,7500,-32.5,-54.1,145.0,2563.881694352539,Cerro Largo,mismo_departamento,True,True,42381.47526515708,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CL_G_E775000_N6425000,Cerro Largo,UY-CL,-32.27804999999999,-54.080271,33949.021736624665,grid,7500,-32.3,-54.1,119.0,3064.015483748016,Cerro Largo,mismo_departamento,True,True,33949.021736624665,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CL_G_E775000_N6450000,Cerro Largo,UY-CL,-32.052804,-54.087453,13034.659911938155,grid,7500,-32.1,-54.1,130.0,5368.709021852195,Cerro Largo,mismo_departamento,True,True,13034.659911938157,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CL_G_E800000_N6400000,Cerro Largo,UY-CL,-32.49681900000001,-53.80726,19733.11853358614,grid,7500,-32.5,-53.799995,182.0,769.0465065007043,Cerro Largo,mismo_departamento,True,True,19733.118533587272,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CL_G_E800000_N6425000,Cerro Largo,UY-CL,-32.271638,-53.815179,12634.11395081934,grid,7500,-32.3,-53.799995,148.0,3457.545245646251,Cerro Largo,mismo_departamento,True,True,12634.113950819341,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CO_G_E400000_N6250000,Colonia,UY-CO,-33.88562000000001,-58.081391,8055.808878091233,grid,7500,-33.899998,-58.1,70.0,2345.9405016105516,Colonia,mismo_departamento,True,True,24033.53517377305,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CO_G_E425000_N6200000,Colonia,UY-CO,-34.33858799999999,-57.815386,8631.105321167359,grid,7500,-34.3,-57.799995,47.0,4507.302144794435,Colonia,mismo_departamento,True,True,8631.105321167775,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CO_G_E425000_N6225000,Colonia,UY-CO,-34.11314599999999,-57.813216,21108.709772223498,grid,7500,-34.1,-57.799995,92.0,1900.557107052731,Colonia,mismo_departamento,True,True,23560.95597473271,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CO_G_E450000_N6200000,Colonia,UY-CO,-34.340096,-57.543604,10065.916976681254,grid,7500,-34.3,-57.5,33.0,5988.45764362109,Colonia,mismo_departamento,True,True,10065.916976681254,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CO_G_E450000_N6225000,Colonia,UY-CO,-34.114642,-57.54215800000001,19050.85679441483,grid,7500,-34.1,-57.5,114.0,4213.74314253931,Colonia,mismo_departamento,True,True,34607.326559135225,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CO_G_E475000_N6200000,Colonia,UY-CO,-34.341001,-57.271806,10474.60401148028,grid,7500,-34.3,-57.299995,37.0,5234.055643071498,Colonia,mismo_departamento,True,True,10474.60401148028,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CO_G_E475000_N6225000,Colonia,UY-CO,-34.115539000000005,-57.271083,18774.32586691152,grid,7500,-34.1,-57.299995,97.0,3174.814465413577,Colonia,mismo_departamento,True,True,35473.69637799893,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_DU_G_E525000_N6350000,Durazno,UY-DU,-32.988105,-56.732416,10990.367463890814,grid,7500,-33.0,-56.699997,64.0,3303.306287354946,Durazno,mismo_departamento,True,True,126287.20900962554,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
