coordenada_id,departamento,departamento_iso,latitud,longitud,easting_m,northing_m,distancia_limite_m,metodo_seleccion,margen_interior_m,crs_generacion,separacion_grilla_m,fuente_limite,latitud_reportada,longitud_reportada,departamento_open_meteo,distancia_solicitada_reportada_m,punto_valido
URY_DU_G_E550000_N6325000,Durazno,UY-DU,-33.21274,-56.463471,550000.0,6325000.0,19350.77090674042,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.2,-56.5,Durazno,3685.88505931591,True
URY_DU_G_E550000_N6350000,Durazno,UY-DU,-32.98724399999999,-56.464839,550000.0,6350000.0,13755.007665611549,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.0,-56.5,Durazno,3576.3965343488767,True
URY_DU_G_E575000_N6325000,Durazno,UY-DU,-33.211294999999986,-56.195225,575000.0,6325000.0,25953.21241693747,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.2,-56.199997,Durazno,1328.9320864250733,True
URY_DU_G_E575000_N6350000,Durazno,UY-DU,-32.98581099999999,-56.197277,575000.0,6350000.0,21749.113179791337,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.0,-56.199997,Durazno,1593.4954742020495,True
URY_DU_G_E600000_N6325000,Durazno,UY-DU,-33.209271,-55.927003,600000.0,6325000.0,21902.575648040915,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.2,-55.9,Durazno,2718.8047784223622,True
URY_DU_G_E600000_N6350000,Durazno,UY-DU,-32.983804,-55.929739,600000.0,6350000.0,33747.30044596015,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.0,-55.9,Durazno,3308.438368343837,True
URY_DU_G_E600000_N6375000,Durazno,UY-DU,-32.75833,-55.932444,600000.0,6375000.0,10492.732071933731,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.8,-55.9,Durazno,5529.714741123549,True
URY_DU_G_E625000_N6325000,Durazno,UY-DU,-33.206669,-55.65881100000001,625000.0,6325000.0,14432.69415053908,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.2,-55.699997,Durazno,3909.860540500614,True
URY_DU_G_E625000_N6350000,Durazno,UY-DU,-32.981224999999995,-55.66223,625000.0,6350000.0,33423.523701656275,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.0,-55.699997,Durazno,4097.336345669636,True
URY_DU_G_E625000_N6375000,Durazno,UY-DU,-32.75577200000001,-55.66561200000001,625000.0,6375000.0,20072.622014178403,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.8,-55.699997,Durazno,5866.942869697318,True
